Table 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Index of Crime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"by Metropolitan Statistical Area, 2000",,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Metropolitan Statistical Area,Population,Crime Index total,Modified Crime Index total1,Violent crime2,Property crime3,Murder and non-negligent man-     slaughter,Forcible rape,Robbery,Aggravated assault,Burglary,Larceny-theft,Motor vehicle theft,Arson1,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abilene, TX M.S.A.","127,413",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Taylor County.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Abilene,"113,387","4,797",,404,"4,393",1,43,105,255,960,"3,203",230,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"5,142",,437,"4,705",1,52,107,277,"1,044","3,419",242,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,035.7",,343.0,"3,692.7",0.8,40.8,84.0,217.4,819.4,"2,683.4",189.9, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Albany, GA M.S.A.","123,424", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Dougherty and Lee Counties.),,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Albany,"79,811","5,654",,542,"5,112",7,29,225,281,"1,328","3,467",317,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"6,777",,614,"6,163",7,38,244,325,"1,618","4,195",350,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"5,490.8", ,497.5,"4,993.4",5.7,30.8,197.7,263.3,"1,310.9","3,398.9",283.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Albany-Schenectady-Troy, NY M.S.A.","906,739",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Albany, Montgomery, Rensselaer, Saratoga, Schenectady, and Schoharie Counties.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Albany,"98,022","7,092",,"1,114","5,978",15,66,396,637,"1,513","4,012",453,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Schenectady,"63,389","3,177",,462,"2,715",3,44,201,214,768,"1,741",206,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Troy,"53,395","2,253",,296,"1,957",1,22,86,187,465,"1,336",156,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Saratoga Springs,"26,874",759,,28,731,-,-,6,22,108,597,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"28,936",,"2,803","26,133",23,190,866,"1,724","5,453","19,410","1,270",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"3,191.2",,309.1,"2,882.1",2.5,21.0,95.5,190.1,601.4,"2,140.6",140.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Albuquerque, NM M.S.A.","709,724",, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Bernalillo, Sandoval, and Valencia Counties.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Albuquerque,"439,724","39,447",,"5,136","34,311",33,239,"1,547","3,317","7,120","22,842","4,349",,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,99.5%,"49,810",,"6,694","43,116",55,315,"1,786","4,538","9,440","28,376","5,300",,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"49,956",,"6,712","43,244",55,316,"1,788","4,553","9,461","28,474","5,309",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"7,038.8", ,945.7,"6,093.1",7.7,44.5,251.9,641.5,"1,333.1","4,012.0",748.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alexandria, LA M.S.A.","129,586",,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Rapides Parish.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Alexandria,"46,978","5,612",,540,"5,072",5,33,180,322,"1,279","3,664",129,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,97.3%,"8,742",,871,"7,871",11,65,200,595,"2,399","5,160",312,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"8,942",,895,"8,047",11,66,204,614,"2,432","5,291",324,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"6,900.4", ,690.7,"6,209.8",8.5,50.9,157.4,473.8,"1,876.7","4,083.0",250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Allentown-Bethlehem-Easton, PA M.S.A.","633,148",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Carbon, Lehigh, and Northampton Counties.)",,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Allentown,"102,557","5,516",,688,"4,828",9,40,349,290,"1,195","3,086",547,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Bethlehem,"71,175","2,448",,222,"2,226",3,13,93,113,511,"1,561",154,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,91.1%,"17,790", ,"1,676","16,114",17,105,574,980,"3,071","11,836","1,207",,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"19,131",,"1,802","17,329",18,113,603,"1,068","3,232","12,795","1,302",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"3,021.6",,284.6,"2,737.0",2.8,17.8,95.2,168.7,510.5,"2,020.9",205.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Altoona, PA M.S.A.","132,942", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Blair County.),, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Altoona,"50,544","1,876",,192,"1,684",1,14,71,106,372,"1,216",96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"3,545",,318,"3,227",2,29,93,194,715,"2,338",174,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"2,666.6", ,239.2,"2,427.4",1.5,21.8,70.0,145.9,537.8,"1,758.7",130.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Amarillo, TX M.S.A.","217,100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
