Table 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Index of Crime1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"by Metropolitan Statistical Area, 2001",,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Metropolitan Statistical Area,Population,Crime Index total,Modified Crime Index total2,Violent crime3,Property crime3,Murder and non-negligent man-     slaughter,Forcible rape,Robbery,Aggravated assault,Burglary,Larceny-theft,Motor vehicle theft,Arson2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abilene, TX M.S.A.","129,427",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Taylor County.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Abilene,"118,561","5,186",,383,"4,803",2,66,88,227,"1,084","3,504",215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"5,254",,407,"4,847",3,66,86,252,"1,128","3,498",221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,059.4",,314.5,"3,745.0",2.3,51.0,66.4,194.7,871.5,"2,702.7",170.8, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Albany, GA M.S.A.","123,736", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Dougherty and Lee Counties.),,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Albany,"78,795","5,102",,536,"4,566",7,37,213,279,"1,322","2,909",335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"6,284",,610,"5,674",7,42,229,332,"1,601","3,696",377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"5,078.6", ,493.0,"4,585.6",5.7,33.9,185.1,268.3,"1,293.9","2,987.0",304.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Albuquerque, NM M.S.A.","716,696",, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Bernalillo, Sandoval, and Valencia Counties.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Albuquerque,"451,098","39,541",,"5,259","34,282",34,219,"1,610","3,396","6,585","23,535","4,162",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,94.1%,"48,923",,"7,049","41,874",43,306,"1,865","4,835","8,609","28,299","4,966",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"50,271",,"7,325","42,946",44,321,"1,908","5,052","8,945","28,908","5,093",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"7,014.3", ,"1,022.1","5,992.2",6.1,44.8,266.2,704.9,"1,248.1","4,033.5",710.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alexandria, LA M.S.A.4","126,237",,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Rapides Parish.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Alexandria4,"46,305","4,957",,648,"4,309",5,26,183,434,"1,105","3,047",157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,97.4%,"7,588",,964,"6,624",9,45,197,713,"2,083","4,228",313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"7,783",,985,"6,798",9,46,201,729,"2,117","4,356",325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
