Table 6,,,,,,,,,,,,,,,,,
Index of Crime,,,,,,,,,,,,,,,,,
"by Metropolitan Statistical Area, 2002",,, ,,,,,,,,,,,,,,
Metropolitan Statistical Area,Population,Crime Index  ,Modified Crime Index1,Violent crime2,Property crime2,Murder and non-negligent man-     slaughter,Forcible rape,Robbery,Aggravated assault,Burglary,Larceny-theft,Motor vehicle theft,Arson1,,,,
,,,,,,,,,,,,,,,,,
"Abilene, TX M.S.A.","132,188", , , , ,,,,,,,,,,,,
    (Includes Taylor County.),,,,,,,,,,,,,,,,,
         City of Abilene,"115,356","5,140",,423,"4,717",4,60,106,253,"1,228","3,271",218,,,,,
         Total area actually reporting,100.0%,"5,471",,452,"5,019",5,62,109,276,"1,362","3,418",239,,,,,
"         Rate per 100,000 inhabitants",,"4,138.8",,341.9,"3,796.9",3.8,46.9,82.5,208.8,"1,030.4","2,585.7",180.8, ,,,,
"Albany, GA M.S.A.","126,341", ,,,,,,,,,,,,,,,
    (Includes Dougherty and Lee Counties.),,, ,,,,,,,,,,,,,,
         City of Albany,"80,452","5,430",,514,"4,916",7,49,220,238,"1,297","3,319",300,,,,,
         Total area actually reporting,100.0%,"6,706",,559,"6,147",7,50,232,270,"1,577","4,202",368,,,,,
"         Rate per 100,000 inhabitants",,"5,307.9", ,442.5,"4,865.4",5.5,39.6,183.6,213.7,"1,248.2","3,325.9",291.3,,,,,
"Albuquerque, NM M.S.A.","726,846",, ,,,,,,,,,,,,,,
"    (Includes Bernalillo, Sandoval, and Valencia Counties.)",,,,,,,,,,,,,,,,,
         City of Albuquerque,"457,488","35,762",,"4,889","30,873",51,293,"1,295","3,250","5,452","21,371","4,050",,,,,
         Total area actually reporting,94.5%,"43,726",,"6,401","37,325",68,396,"1,470","4,467","6,999","25,526","4,800",,,,,
         Estimated total,100.0%,"44,816",,"6,644","38,172",70,412,"1,501","4,661","7,271","25,998","4,903",,,,,
"         Rate per 100,000 inhabitants",,"6,165.8", ,914.1,"5,251.7",9.6,56.7,206.5,641.3,"1,000.3","3,576.8",674.6,,,,,
"Alexandria, LA M.S.A.","126,723",,,,,,,, ,,,,,,,,
    (Includes Rapides Parish.),,,,,,,,,,,,,,,,,
         City of Alexandria,"46,483","5,554",,959,"4,595",11,17,199,732,"1,117","3,285",193,,,,,
         Total area actually reporting,97.4%,"8,280",,"1,269","7,011",18,35,223,993,"2,055","4,584",372,,,,,
         Estimated total,100.0%,"8,474",,"1,290","7,184",18,36,227,"1,009","2,090","4,712",382,,,,,
"         Rate per 100,000 inhabitants",,"6,687.0", ,"1,018.0","5,669.1",14.2,28.4,179.1,796.2,"1,649.3","3,718.3",301.4,,,,,
"Allentown-Bethlehem-Easton, PA M.S.A.","640,766",,,,,,,,,,,,,,,,
"    (Includes Carbon, Lehigh, and Northampton Counties.)",,,, ,,,,,,,,,,,,,
        City of:,,, ,,,,,,,,,,,,,,
            Allentown,"107,101","5,944",,615,"5,329",9,58,294,254,"1,212","3,615",502,,,,,
            Bethlehem,"71,643","2,418",,245,"2,173",2,31,98,114,398,"1,616",159,,,,,
         Total area actually reporting,86.1%,"17,066", ,"1,701","15,365",18,180,516,987,"2,674","11,595","1,096",,,,,
         Estimated total,100.0%,"19,167",,"1,901","17,266",20,195,567,"1,119","2,948","13,080","1,238",,,,,
"         Rate per 100,000 inhabitants",,"2,991.3",,296.7,"2,694.6",3.1,30.4,88.5,174.6,460.1,"2,041.3",193.2,,,,,
"Altoona, PA M.S.A.","129,712", ,,,,,,,,,,,,,,,
    (Includes Blair County.),, ,,,,,,,,,,,,,,,
         City of Altoona,"49,741","2,058",,177,"1,881",2,20,74,81,540,"1,218",123,,,,,
         Total area actually reporting,79.4%,"3,073",,302,"2,771",2,39,99,162,842,"1,763",166,,,,,
         Estimated total,100.0%,"3,703",,362,"3,341",3,43,114,202,924,"2,208",209,,,,,
"         Rate per 100,000 inhabitants",,"2,854.8", ,279.1,"2,575.7",2.3,33.2,87.9,155.7,712.3,"1,702.2",161.1,,,,,
"Amarillo, TX M.S.A.","227,555",,,,,,,,,,,,,,,,
    (Includes Potter and Randall Counties.),,,,,, , ,,,,,,,,,,
         City of Amarillo,"181,355","13,473",,"1,479","11,994",7,109,330,"1,033","2,468","8,566",960,,,,,
         Total area actually reporting,100.0%,"14,573",,"1,556","13,017",7,116,334,"1,099","2,756","9,231","1,030",,,,,
"         Rate per 100,000 inhabitants",,"6,404.2", ,683.8,"5,720.4",3.1,51.0,146.8,483.0,"1,211.1","4,056.6",452.6,,,,,
"Anchorage, AK M.S.A.","267,280",,,,,,,,,, ,,,,,,
    (Includes Anchorage Borough.),,, ,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"13,670",,"1,721","11,949",18,254,382,"1,067","1,521","9,255","1,173",,,,,
"         Rate per 100,000 inhabitants", ,"5,114.5", ,643.9,"4,470.6",6.7,95.0,142.9,399.2,569.1,"3,462.7",438.9,,,,,
"Ann Arbor, MI M.S.A.","585,259", ,,,,,,, , , ,,,,,,
"    (Includes Lenawee, Livingston, and Washtenaw Counties.)",,,,, ,,, ,,,,,,,,,
         City of Ann Arbor,"115,309","3,727",,301,"3,426",5,26,87,183,859,"2,385",182,,,,,
         Total area actually reporting,100.0%,"16,995",,"1,507","15,488",18,212,293,984,"3,341","10,963","1,184",,,,,
"         Rate per 100,000 inhabitants",,"2,903.8", ,257.5,"2,646.3",3.1,36.2,50.1,168.1,570.9,"1,873.2",202.3,,,,,
"Anniston, AL M.S.A.","113,244", ,,,,,,, , , ,,,,,,
    (Includes Calhoun County.),,,,, ,,, ,,,,,,,,,
         City of Anniston,"24,491","3,617",,572,"3,045",7,35,164,366,900,"1,995",150,,,,,
         Total area actually reporting,100.0%,"6,614",,780,"5,834",11,53,223,493,"1,516","4,005",313,,,,,
"         Rate per 100,000 inhabitants",,"5,840.5", ,688.8,"5,151.7",9.7,46.8,196.9,435.3,"1,338.7","3,536.6",276.4,,,,,
"Appleton-Oshkosh-Neenah, WI M.S.A.","363,218",,,,,,,,,,,,,,,,
"    (Includes Calumet, Outagamie, and Winnebago Counties.)",,, , ,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Appleton,"71,100","1,967",,127,"1,840",0,18,18,91,245,"1,520",75,,,,,
            Oshkosh,"63,825","2,440",,143,"2,297",1,9,18,115,288,"1,936",73,,,,,
            Neenah,"24,861",495,,18,477,0,2,0,16,55,405,17,,,,,
         Total area actually reporting,100.0%,"8,790",,388,"8,402",2,57,45,284,"1,011","7,081",310,,,,,
"         Rate per 100,000 inhabitants",,"2,420.0",,106.8,"2,313.2",0.6,15.7,12.4,78.2,278.3,"1,949.5",85.3,,,,,
"Asheville, NC M.S.A.","233,567",,,, ,,,,,,,,,,,,
    (Includes Buncombe and Madison Counties.),,,,,, , , , , , , ,,,,,
         City of Asheville,"71,207","4,861",,476,"4,385",12,44,197,223,790,"3,112",483,,,,,
         Total area actually reporting,99.1%,"8,304",,786,"7,518",21,57,228,480,"1,808","4,947",763,,,,,
         Estimated total,100.0%,"8,432",,796,"7,636",21,58,231,486,"1,833","5,035",768,,,,,
"         Rate per 100,000 inhabitants",,"3,610.1",,340.8,"3,269.3",9.0,24.8,98.9,208.1,784.8,"2,155.7",328.8,,,,,
"Athens, GA M.S.A.","160,451",,, ,, ,,,,, ,,,,,,
"    (Includes Clarke, Madison, and Oconee Counties.)",,,,, ,, , , , ,, ,,,,,
         City of Athens-Clarke County,"105,007","6,693",,441,"6,252",7,53,158,223,"1,042","4,779",431,,,,,
         Total area actually reporting,99.7%,"8,511",,518,"7,993",9,57,172,280,"1,346","6,067",580,,,,,
         Estimated total,100.0%,"8,543",,521,"8,022",9,57,173,282,"1,351","6,088",583,,,,,
"         Rate per 100,000 inhabitants",,"5,324.4",,324.7,"4,999.7",5.6,35.5,107.8,175.8,842.0,"3,794.3",363.4,,,,,
"Atlanta, GA M.S.A.","4,299,988",,, , , , , , ,, , , ,,,,
"    (Includes Barrow, Bartow, Carroll, Cherokee, Clayton, Cobb, Coweta, DeKalb, Douglas, Fayette, Forsyth, Fulton, Gwinnett, Henry, Newton, Paulding, Pickens, Rockdale, Spalding, and Walton Counties.)",,,,,,,,,,,,,,,,,
         City of Atlanta,"435,494","49,451",,"9,969","39,482",152,276,"4,168","5,373","8,554","23,706","7,222",,,,,
         Total area actually reporting,98.8%,"196,234",,"22,313","173,921",354,"1,041","9,137","11,781","37,109","112,403","24,409",,,,,
         Estimated total,100.0%,"199,455",,"22,579","176,876",357,"1,053","9,228","11,941","37,620","114,576","24,680",,,,,
"         Rate per 100,000 inhabitants",,"4,638.5",,525.1,"4,113.4",8.3,24.5,214.6,277.7,874.9,"2,664.6",574.0,,,,,
"Atlantic-Cape May, NJ M.S.A.","362,299",,, ,, , , , , ,,,,,,,
    (Includes Atlantic and Cape May Counties.),,,,, ,,, ,,, , ,,,,,
         City of Atlantic City,"41,364","5,346",,663,"4,683",5,21,283,354,482,"4,031",170,,,,,
         Total area actually reporting,100.0%,"17,419", ,"1,708","15,711",12,91,596,"1,009","2,633","12,435",643,,,,,
"         Rate per 100,000 inhabitants",,"4,807.9",,471.4,"4,336.5",3.3,25.1,164.5,278.5,726.7,"3,432.2",177.5,,,,,
"Auburn-Opelika, AL M.S.A.","116,111",,, ,, , , , , ,,,,,,,
    (Includes Lee County.),,,,, ,,, ,,, , ,,,,,
         City of: ,,,,,,,,,,,,,,,,,
            Auburn,"43,368","2,282",,166,"2,116",2,17,48,99,516,"1,506",94,,,,,
            Opelika,"23,706","2,063",,357,"1,706",2,29,70,256,422,"1,276",8,,,,,
         Total area actually reporting,100.0%,"6,584", ,677,"5,907",7,60,156,454,"1,670","4,006",231,,,,,
