Table 6,,,,,,,,,,,,,,,,,
Crime in the United States,,,,,,,,,,,,,,,,,
"by Metropolitan Statistical Area, 2003",,,,,,,,,,,,,,,,,
,,,Violent crime,,,,,Property crime,,,,,,,,,
Metropolitan Statistical Area,Population,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,,,,,,,
"Abilene, TX M.S.A.","161,159", ,,,,, ,,,,,,,,,,
"    (Includes Callahan, Jones, and Taylor Counties.)",,,,,,,,,,,,,,,,,
        City of Abilene,"117,016",517,6,71,129,311,"6,107","1,814","3,991",302,,,,,,,
        Total area actually reporting,100.0%,599,7,77,137,378,"6,790","2,083","4,360",347,,,,,,,
"        Rate per 100,000 inhabitants",,371.7,4.3,47.8,85.0,234.6,"4,213.2","1,292.5","2,705.4",215.3,,,,,,,
"Akron, OH M.S.A.","701,158", ,,,,, ,,,,,,,,,,
    (Includes Portage and Summit Counties.),,,,,,,,,,,,,,,,,
        City of Akron,"214,622","1,288",16,206,623,443,"12,172","3,177","7,779","1,216",,,,,,,
        Total area actually reporting,83.0%,"1,778",19,321,778,660,"22,655","4,868","16,030","1,757",,,,,,,
        Estimated total,100.0%,"1,921",20,350,827,724,"25,429","5,479","17,992","1,958",,,,,,,
"        Rate per 100,000 inhabitants",,274.0,2.9,49.9,117.9,103.3,"3,626.7",781.4,"2,566.0",279.3,,,,,,,
"Albany, GA M.S.A.","162,243", ,,,,, ,,,,,,,,,,
"    (Includes Baker, Dougherty, Lee, Terrell, and Worth Counties.)",,,,,,,,,,,,,,,,,
        City of Albany,"77,434",537,6,37,261,233,"4,648","1,280","2,967",401,,,,,,,
        Total area actually reporting,99.5%,706,7,50,292,357,"6,414","1,727","4,188",499,,,,,,,
        Estimated total,100.0%,711,7,50,294,360,"6,462","1,735","4,223",504,,,,,,,
"        Rate per 100,000 inhabitants",,438.2,4.3,30.8,181.2,221.9,"3,982.9","1,069.4","2,602.9",310.6,,,,,,,
"Albuquerque, NM M.S.A.","761,936", ,,,,, ,,,,,,,,,,
"    (Includes Bernalillo, Sandoval, Torrance, and Valencia Counties.)",,,,,,,,,,,,,,,,,
        City of Albuquerque,"468,764","4,439",51,263,"1,080","3,045","29,294","5,543","19,663","4,088",,,,,,,
        Total area actually reporting,93.2%,"5,950",61,363,"1,231","4,295","36,124","7,308","23,905","4,911",,,,,,,
        Estimated total,100.0%,"6,212",62,385,"1,256","4,509","37,354","7,655","24,664","5,035",,,,,,,
"        Rate per 100,000 inhabitants",,815.3,8.1,50.5,164.8,591.8,"4,902.5","1,004.7","3,237.0",660.8,,,,,,,
"Alexandria, LA M.S.A.","146,057", ,,,,, ,,,,,,,,,,
    (Includes Grant and Rapides Parishes.),,,,,,,,,,,,,,,,,
        City of Alexandria,"45,996",970,8,13,194,755,"4,491","1,275","3,013",203,,,,,,,
        Total area actually reporting,94.0%,"1,347",10,29,216,"1,092","7,395","2,217","4,784",394,,,,,,,
        Estimated total,100.0%,"1,401",10,32,227,"1,132","7,910","2,303","5,183",424,,,,,,,
"        Rate per 100,000 inhabitants",,959.2,6.8,21.9,155.4,775.0,"5,415.7","1,576.8","3,548.6",290.3,,,,,,,
"Allentown-Bethlehem-Easton, PA-NJ M.S.A.","760,286",,,,,,,,,,,,,,,,
"    (Includes Warren County, NJ and Carbon, Lehigh, and Northampton Counties, PA.)",,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
"            Allentown, PA","106,366",641,12,51,359,219,"5,654","1,111","3,851",692,,,,,,,
"            Bethlehem, PA","71,926",190,1,20,94,75,"1,965",337,"1,460",168,,,,,,,
        Total area actually reporting,88.5%,"1,701",16,166,617,902,"17,434","2,951","13,093","1,390",,,,,,,
        Estimated total,100.0%,"1,899",18,180,668,"1,033","19,296","3,219","14,550","1,527",,,,,,,
