Table 6,,,,,,,,,,,,,,,,,
Crime in the United States,,,,,,,,,,,,,,,,,
"by Metropolitan Statistical Area, 2004",,,,,,,,,,,,,,,,,
Metropolitan Statistical Area,Population,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,,,,,,,
"Abilene, TX M.S.A.","161,150", ,,,,, ,,,,,,,,,,
"    (Includes Callahan, Jones, and Taylor Counties.)",,,,,,,,,,,,,,,,,
        City of Abilene,"116,819",498,6,58,178,256,"5,881","1,694","3,915",272,,,,,,,
        Total area actually reporting,100.0%,583,12,64,182,325,"6,565","2,001","4,249",315,,,,,,,
"        Rate per 100,000 inhabitants",,361.8,7.4,39.7,112.9,201.7,"4,073.8","1,241.7","2,636.7",195.5,,,,,,,
"Akron, OH M.S.A.","703,067", ,,,,, ,,,,,,,,,,
    (Includes Portage and Summit Counties.),,,,,,,,,,,,,,,,,
        City of Akron,"212,646","1,243",13,175,605,450,"12,686","3,248","7,915","1,523",,,,,,,
        Total area actually reporting,84.3%,"1,792",24,289,755,724,"23,961","5,026","16,828","2,107",,,,,,,
        Estimated total,100.0%,"1,931",27,318,802,784,"26,526","5,583","18,663","2,280",,,,,,,
"        Rate per 100,000 inhabitants",,274.7,3.8,45.2,114.1,111.5,"3,772.9",794.1,"2,654.5",324.3,,,,,,,
"Albany, GA M.S.A.","163,788", ,,,,, ,,,,,,,,,,
"    (Includes Baker, Dougherty, Lee, Terrell, and Worth Counties.)",,,,,,,,,,,,,,,,,
        City of Albany,"77,471",523,5,51,217,250,"5,300","1,576","3,375",349,,,,,,,
        Total area actually reporting,98.9%,670,5,58,252,355,"6,993","1,973","4,575",445,,,,,,,
        Estimated total,100.0%,681,5,59,255,362,"7,099","1,990","4,653",456,,,,,,,
"        Rate per 100,000 inhabitants",,415.8,3.1,36.0,155.7,221.0,"4,334.3","1,215.0","2,840.9",278.4,,,,,,,
"Albuquerque, NM M.S.A.","776,569", ,,,,, ,,,,,,,,,,
"    (Includes Bernalillo, Sandoval, Torrance, and Valencia Counties.)",,,,,,,,,,,,,,,,,
        City of Albuquerque,"479,074","4,720",41,235,"1,238","3,206","29,557","5,243","20,469","3,845",,,,,,,
        Total area actually reporting,98.9%,"6,490",65,358,"1,396","4,671","37,151","7,378","24,832","4,941",,,,,,,
        Estimated total,100.0%,"6,545",65,363,"1,399","4,718","37,473","7,448","25,054","4,971",,,,,,,
"        Rate per 100,000 inhabitants",,842.8,8.4,46.7,180.2,607.5,"4,825.5",959.1,"3,226.2",640.1,,,,,,,
"Alexandria, LA M.S.A.","146,914", ,,,,, ,,,,,,,,,,
    (Includes Grant and Rapides Parishes.),,,,,,,,,,,,,,,,,
        City of Alexandria,"45,846",896,3,17,188,688,"3,712",925,"2,576",211,,,,,,,
        Total area actually reporting,94.1%,"1,310",12,38,205,"1,055","7,068","1,987","4,629",452,,,,,,,
        Estimated total,100.0%,"1,361",12,42,214,"1,093","7,584","2,066","5,037",481,,,,,,,
"        Rate per 100,000 inhabitants",,926.4,8.2,28.6,145.7,744.0,"5,162.2","1,406.3","3,428.5",327.4,,,,,,,
"Allentown-Bethlehem-Easton, PA-NJ M.S.A.","770,978",,,,,,,,,,,,,,,,
"    (Includes Warren County, NJ and Carbon, Lehigh, and Northampton Counties, PA.)",,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
"            Allentown, PA","106,308",652,11,51,360,230,"5,780","1,389","3,861",530,,,,,,,
"            Bethlehem, PA","72,810",223,1,24,83,115,"2,195",400,"1,640",155,,,,,,,
        Total area actually reporting,87.6%,"1,781",26,164,601,990,"18,033","3,239","13,570","1,224",,,,,,,
        Estimated total,100.0%,"2,004",28,179,660,"1,137","20,076","3,530","15,184","1,362",,,,,,,
"        Rate per 100,000 inhabitants",,259.9,3.6,23.2,85.6,147.5,"2,604.0",457.9,"1,969.4",176.7,,,,,,,
"Altoona, PA M.S.A.","127,595", ,,,,, ,,,,,,,,,,
    (Includes Blair County.),,,,,,,,,,,,,,,,,
        City of Altoona,"48,138",160,2,25,64,69,"1,447",414,940,93,,,,,,,
        Total area actually reporting,90.7%,265,3,35,81,146,"2,566",650,"1,752",164,,,,,,,
        Estimated total,100.0%,292,3,37,88,164,"2,818",686,"1,951",181,,,,,,,
"        Rate per 100,000 inhabitants",,228.8,2.4,29.0,69.0,128.5,"2,208.6",537.6,"1,529.1",141.9,,,,,,,
"Amarillo, TX M.S.A.","237,149", ,,,,, ,,,,,,,,,,
"    (Includes Armstrong, Carson, Potter, and Randall Counties.)",,,,,,,,,,,,,,,,,
        City of Amarillo,"181,612","1,426",11,75,377,963,"11,509","2,297","8,241",971,,,,,,,
        Total area actually reporting,100.0%,"1,531",12,86,382,"1,051","12,488","2,542","8,911","1,035",,,,,,,
"        Rate per 100,000 inhabitants",,645.6,5.1,36.3,161.1,443.2,"5,265.9","1,071.9","3,757.6",436.4,,,,,,,
"Ames, IA M.S.A.1","83,314", ,,,,, ,,,,,,,,,,
    (Includes Story County.),,,,,,,, ,,,,,,,,,
        City of Ames1,"53,472",129,0,22,13,94,"1,582",389,"1,112",81,,,,,,,
        Total area actually reporting,100.0%,167,0,31,16,120,"2,352",559,"1,663",130,,,,,,,
"        Rate per 100,000 inhabitants",,200.4,0.0,37.2,19.2,144.0,"2,823.1",671.0,"1,996.1",156.0,,,,,,,
"Anchorage, AK M.S.A.","286,671", ,,,, , ,,,,,,,,,,
    (Includes Anchorage Municipality and Matanuska-Susitna Borough.),,,,,,,,,,,,,,,,,
        City of Anchorage,"273,714","2,164",15,263,331,"1,555","9,901","1,523","7,354","1,024",,,,,,,
        Total area actually reporting,100.0%,"2,311",15,265,339,"1,692","10,947","1,597","8,242","1,108",,,,,,,
"        Rate per 100,000 inhabitants",,806.2,5.2,92.4,118.3,590.2,"3,818.7",557.1,"2,875.1",386.5,,,,,,,
"Anderson, IN M.S.A.","132,008", ,,,,, ,,,,,,,,,,
    (Includes Madison County.),,,,,,,,,,,,,,,,,
        City of Anderson,"58,789",149,5,27,59,58,"2,087",447,"1,524",116,,,,,,,
        Total area actually reporting,100.0%,219,7,36,70,106,"3,421",687,"2,560",174,,,,,,,
