Table 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crime in the United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"by Metropolitan Statistical Area, 2005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metropolitan Statistical Area,Counties/principal cities,Population,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,,,,,,,,,,,,,,,,,,
"Abilene, TX M.S.A.","Callahan, Jones, and Taylor ","161,123", ,,,,, ,,,,,,,,,,,,,,,,,,,,,
,City of Abilene,"116,695",576,5,78,146,347,"5,504","1,521","3,685",298,,,,,,,,,,,,,,,,,,
,Total area actually reporting,100.0%,640,7,82,156,395,"6,196","1,769","4,076",351,,,,,,,,,,,,,,,,,,
,"Rate per 100,000 inhabitants",,397.2,4.3,50.9,96.8,245.2,"3,845.5","1,097.9","2,529.7",217.8,,,,,,,,,,,,,,,,,,
"Akron, OH M.S.A.",Portage and Summit,"702,386", ,,,,, ,,,,,,,,,,,,,,,,,,,,,
,City of Akron,"212,272","1,265",27,183,625,430,"12,040","3,409","7,253","1,378",,,,,,,,,,,,,,,,,,
,Total area actually reporting,96.7%,"1,827",38,325,803,661,"25,011","5,873","17,053","2,085",,,,,,,,,,,,,,,,,,
,Estimated total,100.0%,"1,871",38,332,819,682,"25,722","6,002","17,589","2,131",,,,,,,,,,,,,,,,,,
,"Rate per 100,000 inhabitants",,266.4,5.4,47.3,116.6,97.1,"3,662.1",854.5,"2,504.2",303.4,,,,,,,,,,,,,,,,,,
"Albany, GA M.S.A.","Baker, Dougherty, Lee, Terrell, and Worth","167,284", ,,,,, ,,,,,,,,,,,,,,,,,,,,,
,City of Albany,"78,353",516,8,40,216,252,"4,991","1,704","2,958",329,,,,,,,,,,,,,,,,,,
,Total area actually reporting,99.4%,622,8,51,231,332,"6,735","2,177","4,148",410,,,,,,,,,,,,,,,,,,
,Estimated total,100.0%,627,8,51,233,335,"6,787","2,186","4,186",415,,,,,,,,,,,,,,,,,,
,"Rate per 100,000 inhabitants",,374.8,4.8,30.5,139.3,200.3,"4,057.2","1,306.8","2,502.3",248.1,,,,,,,,,,,,,,,,,,
"Albany-Schenectady-Troy, NY M.S.A.","Albany, Rensselaer, Saratoga, Schenectady, and Schoharie","846,480",,,,,,,,,,,,,,,,,,,,,,,,,,,
,City of Albany,"94,361","1,275",8,68,439,760,"4,883","1,328","3,186",369,,,,,,,,,,,,,,,,,,
,City of Schenectady,"61,213",609,8,41,252,308,"3,049",795,"1,975",279,,,,,,,,,,,,,,,,,,
,City of Troy,"48,231",309,4,18,78,209,"2,053",517,"1,333",203,,,,,,,,,,,,,,,,,,
,Total area actually reporting,100.0%,"3,096",25,225,906,"1,940","22,534","4,511","16,693","1,330",,,,,,,,,,,,,,,,,,
,"Rate per 100,000 inhabitants",,365.7,3.0,26.6,107.0,229.2,"2,662.1",532.9,"1,972.0",157.1,,,,,,,,,,,,,,,,,,
"Albuquerque, NM M.S.A.","Bernalillo, Sandoval, Torrance, and 
Valencia","791,750", ,,,,, ,,,,,,,,,,,,,,,,,,,,,
,City of Albuquerque,"490,631","4,670",53,285,"1,150","3,182","30,243","5,744","20,703","3,796",,,,,,,,,,,,,,,,,,
,Total area actually reporting,99.8%,"6,630",74,377,"1,336","4,843","38,850","8,678","25,055","5,117",,,,,,,,,,,,,,,,,,
,Estimated total,100.0%,"6,642",74,377,"1,337","4,854","38,910","8,693","25,094","5,123",,,,,,,,,,,,,,,,,,
,"Rate per 100,000 inhabitants",,838.9,9.3,47.6,168.9,613.1,"4,914.4","1,097.9","3,169.4",647.0,,,,,,,,,,,,,,,,,,
"Alexandria, LA M.S.A.",Grant and Rapides Parishes,"147,408", ,,,,, ,,,,,,,,,,,,,,,,,,,,,
,City of Alexandria,"46,051","1,022",9,21,147,845,"3,787",948,"2,629",210,,,,,,,,,,,,,,,,,,
,Total area actually reporting,94.2%,"1,398",10,51,160,"1,177","6,596","1,792","4,332",472,,,,,,,,,,,,,,,,,,
,Estimated total,100.0%,"1,449",11,53,169,"1,216","7,056","1,873","4,680",503,,,,,,,,,,,,,,,,,,
,"Rate per 100,000 inhabitants",,983.0,7.5,36.0,114.6,824.9,"4,786.7","1,270.6","3,174.9",341.2,,,,,,,,,,,,,,,,,,
"Allentown-Bethlehem-Easton, PA-NJ M.S.A.","Warren County, NJ and Carbon, Lehigh, and Northampton Counties, PA","781,316",,,,,,,,,,,,,,,,,,,,,,,,,,,
,"City of Allentown, PA","106,933",863,21,45,512,285,"5,771","1,393","3,905",473,,,,,,,,,,,,,,,,,,
,"City of Bethlehem, PA","72,577",268,2,17,114,135,"2,301",409,"1,700",192,,,,,,,,,,,,,,,,,,
,Total area actually reporting,92.9%,"2,200",31,139,810,"1,220","18,764","3,279","14,264","1,221",,,,,,,,,,,,,,,,,,
,Estimated total,100.0%,"2,335",32,148,846,"1,309","19,938","3,453","15,186","1,299",,,,,,,,,,,,,,,,,,
,"Rate per 100,000 inhabitants",,298.9,4.1,18.9,108.3,167.5,"2,551.8",441.9,"1,943.6",166.3,,,,,,,,,,,,,,,,,,
"Altoona, PA M.S.A.",Blair ,"127,708", ,,,,, ,,,,,,,,,,,,,,,,,,,,,
,City of Altoona,"47,922",186,5,26,69,86,"1,653",463,"1,117",73,,,,,,,,,,,,,,,,,,
,Total area actually reporting,90.8%,310,7,39,88,176,"2,860",727,"2,000",133,,,,,,,,,,,,,,,,,,
,Estimated total,100.0%,339,7,41,96,195,"3,111",764,"2,197",150,,,,,,,,,,,,,,,,,,
,"Rate per 100,000 inhabitants",,265.4,5.5,32.1,75.2,152.7,"2,436.0",598.2,"1,720.3",117.5,,,,,,,,,,,,,,,,,,
"Amarillo, TX M.S.A.","Armstrong, Carson, Potter, and Randall","239,998", ,,,,, ,,,,,,,,,,,,,,,,,,,,,
,City of Amarillo,"183,765","1,537",10,88,347,"1,092","11,850","2,549","8,245","1,056",,,,,,,,,,,,,,,,,,
